encoder,thr,sparsity_event,sparsity_noise,sparsity_avg,snr,precision,in_target,step_size,kappa_phi,amp_kappa,alpha,tau_ms,lags
SCS-DeltaMod,0.85,0.005032622950093355,0.006366437766700983,0.005699530358397169,2.9708563314410434,0.2524605544883525,True,0.15,,,,,
SCS-DeltaMod,0.85,0.004765174187486992,0.005984080955386162,0.005374627571436577,3.0074203717228705,0.2536695820662135,True,0.2,,,,,
SCS-Adaptive,0.55,0.19497784857172518,0.22231002151966095,0.20864393504569306,1.1051651313588438,0.1915178888104856,False,,,,,,
SCS-Adaptive,0.6,0.12321483296342194,0.14985552430152893,0.13653517863247544,1.2506151580859446,0.2018736046634149,False,,,,,,
SCS-Adaptive,0.65,0.07259562507853844,0.09205446392297745,0.08232504450075795,1.440620272358469,0.21217976718791762,False,,,,,,
SCS-Adaptive,0.7,0.039750051263254135,0.0515480600297451,0.04564905564649962,1.6761576760963208,0.2228496110861306,False,,,,,,
SCS-Adaptive,0.75,0.020313261601841076,0.026389308273792267,0.02335128493781667,2.0066659578880843,0.23440095340323752,False,,,,,,
SCS-Adaptive,0.8,0.009842626379104331,0.012430639006197453,0.011136632692650892,2.4703710997508854,0.24598937684808334,True,,,,,,
SCS-Adaptive,0.85,0.00463546107406728,0.005511253606528044,0.005073357340297662,3.0809554285417198,0.2573711512253067,True,,,,,,
SCS-ATDE,0.7,0.044719620964024216,0.0563838966190815,0.05055175879155285,1.6562156917719115,0.22425906363874673,False,,,,2.5,50.0,
SCS-ATDE,0.75,0.025566277308389545,0.031448766589164734,0.02850752194877714,1.8426688716485382,0.2332207556720823,False,,,,2.5,50.0,
SCS-ATDE,0.8,0.01529916328843683,0.017627136781811714,0.01646315003512427,1.997901020215972,0.24018147370778023,False,,,,2.5,50.0,
SCS-ATDE,0.7,0.045864217900671064,0.05737901106476784,0.05162161448271945,1.6660833994895086,0.22433158424682914,False,,,,2.5,75.0,
